Sample,scg,tel,eff.scg,eff.tel,plate,ref.tel,ref.scg
G7,17.313,7.805,1.847,1.848,1,8.581,17.333
G7,17.313,7.805,1.847,1.848,1,8.581,17.333
G8,18.025,9.992,1.847,1.848,1,8.581,17.333
G8,18.025,9.992,1.847,1.848,1,8.581,17.333
G8,18.025,9.992,1.847,1.848,1,8.581,17.333
G9,18.371,9.896,1.847,1.848,1,8.581,17.333
G9,18.371,9.896,1.847,1.848,1,8.581,17.333
G9,18.371,9.896,1.847,1.848,1,8.581,17.333
GR11.1,18.272,10.449,1.843,1.906,2,11.724,17.977
GR11.1,18.272,10.449,1.843,1.906,2,11.724,17.977
GR11.1,18.272,10.449,1.843,1.906,2,11.724,17.977
GR11.2,24.871,17.865,1.843,1.906,2,11.724,17.977
GR11.2,24.871,17.865,1.843,1.906,2,11.724,17.977
GR11.2,24.871,17.865,1.843,1.906,2,11.724,17.977
GR11.3,17.636,10.706,1.843,1.906,2,11.724,17.977
GR11.3,17.636,10.706,1.843,1.906,2,11.724,17.977
GR11.3,17.636,10.706,1.843,1.906,2,11.724,17.977
GR11.4,18.517,11.644,1.843,1.906,2,11.724,17.977
GR11.4,18.517,11.644,1.843,1.906,2,11.724,17.977
GR11.4,18.517,11.644,1.843,1.906,2,11.724,17.977
GR11.5,16.575,12.244,1.843,1.906,2,11.724,17.977
GR11.5,16.575,12.244,1.843,1.906,2,11.724,17.977
GR11.5,16.575,12.244,1.843,1.906,2,11.724,17.977
GR11.6,18.474,11.851,1.843,1.906,2,11.724,17.977
GR11.6,18.474,11.851,1.843,1.906,2,11.724,17.977
GR11.6,18.474,11.851,1.843,1.906,2,11.724,17.977
GR40.121,16.096,12.633,1.843,1.906,2,11.724,17.977
GR40.121,16.096,12.633,1.843,1.906,2,11.724,17.977
GR40.121,16.096,12.633,1.843,1.906,2,11.724,17.977
GR40.122,18.461,14.52,1.843,1.906,2,11.724,17.977
GR40.122,18.461,14.52,1.843,1.906,2,11.724,17.977
GR40.122,18.461,14.52,1.843,1.906,2,11.724,17.977
GR40.123,17.856,11.45,1.843,1.906,2,11.724,17.977
GR40.123,17.856,11.45,1.843,1.906,2,11.724,17.977
GR40.123,17.856,11.45,1.843,1.906,2,11.724,17.977
GR40.124,18.153,14.51,1.843,1.906,2,11.724,17.977
GR40.124,18.153,14.51,1.843,1.906,2,11.724,17.977
GR40.124,18.153,14.51,1.843,1.906,2,11.724,17.977
GR40.125,17.677,12.78,1.843,1.906,2,11.724,17.977
GR40.125,17.677,12.78,1.843,1.906,2,11.724,17.977
GR40.125,17.677,12.78,1.843,1.906,2,11.724,17.977
GR40.126,18.005,13.444,1.843,1.906,2,11.724,17.977
